Source Type,Underlying,Tenor Swap,Tenor Option,Portfolio,Group,Risk,dRisk,Vol Score,Risk SP01,dRisk SP01,Risk PSP01,dRisk PSP01,Risk PM01,dRisk PM01,Risk PM01P,dRisk PM01P,Risk Theta,dRisk Theta,Risk JTD,dRisk JTD
credit/vega,FAKE_REPLACE_ME - iTraxx Main Vol,FAKE_REPLACE_ME - 6M,,FAKE_REPLACE_ME - BOOK-0287 · TRADER-144,Index,3264123,-408533,87.588,3264123,-408533,2676580.86,-334997.06,3851665.14,-482068.94,35905.35,-4493.86,-261129.84,32682.64,1142443.05,-142986.55
credit/vega,FAKE_REPLACE_ME - Ford CDS Vol,FAKE_REPLACE_ME - 1M,,FAKE_REPLACE_ME - BOOK-0288 · TRADER-144,Single Name,4828310,-223536,35.706,4828310,-223536,3959214.2,-183299.52,5697405.8,-263772.48,53111.41,-2458.9,-386264.8,17882.88,1689908.5,-78237.6
credit/vega,FAKE_REPLACE_ME - Ford CDS Vol,FAKE_REPLACE_ME - 3M,,FAKE_REPLACE_ME - BOOK-0289 · TRADER-145,Single Name,3120902,-92159,54.411,3120902,-92159,2559139.64,-75570.38,3682664.36,-108747.62,34329.92,-1013.75,-249672.16,7372.72,1092315.7,-32255.65
credit/vega,FAKE_REPLACE_ME - Ford CDS Vol,FAKE_REPLACE_ME - 6M,,FAKE_REPLACE_ME - BOOK-0290 · TRADER-145,Single Name,-634218,-515828,62.673,-634218,-515828,-520058.76,-422978.96,-748377.24,-608677.04,-6976.4,-5674.11,50737.44,41266.24,-221976.3,-180539.8
commo/delta,FAKE_REPLACE_ME - Brent,FAKE_REPLACE_ME - 1M,,FAKE_REPLACE_ME - BOOK-0291 · TRADER-146,Oil,-346672,-266761,7.067,,,,,,,,,,,,
commo/delta,FAKE_REPLACE_ME - Brent,FAKE_REPLACE_ME - 3M,,FAKE_REPLACE_ME - BOOK-0292 · TRADER-146,Oil,4840834,-274190,99.923,,,,,,,,,,,,
commo/delta,FAKE_REPLACE_ME - Brent,FAKE_REPLACE_ME - 6M,,FAKE_REPLACE_ME - BOOK-0293 · TRADER-147,Oil,-859402,-30414,36.19,,,,,,,,,,,,
commo/delta,FAKE_REPLACE_ME - Gold,FAKE_REPLACE_ME - 1M,,FAKE_REPLACE_ME - BOOK-0294 · TRADER-147,Precious,4960588,357436,69.242,,,,,,,,,,,,
commo/delta,FAKE_REPLACE_ME - Gold,FAKE_REPLACE_ME - 3M,,FAKE_REPLACE_ME - BOOK-0295 · TRADER-148,Precious,723203,-401302,72.128,,,,,,,,,,,,
commo/delta,FAKE_REPLACE_ME - Gold,FAKE_REPLACE_ME - 6M,,FAKE_REPLACE_ME - BOOK-0296 · TRADER-148,Precious,-3888344,-425193,47.662,,,,,,,,,,,,
commo/delta,FAKE_REPLACE_ME - TTF Gas,FAKE_REPLACE_ME - 1M,,FAKE_REPLACE_ME - BOOK-0297 · TRADER-149,Gas,600884,59548,56.007,,,,,,,,,,,,
commo/delta,FAKE_REPLACE_ME - TTF Gas,FAKE_REPLACE_ME - 3M,,FAKE_REPLACE_ME - BOOK-0298 · TRADER-149,Gas,-4074260,-87057,70.608,,,,,,,,,,,,
commo/delta,FAKE_REPLACE_ME - TTF Gas,FAKE_REPLACE_ME - 6M,,FAKE_REPLACE_ME - BOOK-0299 · TRADER-150,Gas,941082,25840,39.377,,,,,,,,,,,,
commo/vega,FAKE_REPLACE_ME - Brent Vol,FAKE_REPLACE_ME - 1M,,FAKE_REPLACE_ME - BOOK-0300 · TRADER-150,Oil,4741609,-78577,70.592,,,,,,,,,,,,
commo/vega,FAKE_REPLACE_ME - Brent Vol,FAKE_REPLACE_ME - 3M,,FAKE_REPLACE_ME - BOOK-0301 · TRADER-151,Oil,3298710,-437649,8.357,,,,,,,,,,,,
commo/vega,FAKE_REPLACE_ME - Brent Vol,FAKE_REPLACE_ME - 6M,,FAKE_REPLACE_ME - BOOK-0302 · TRADER-151,Oil,1323498,199292,61.875,,,,,,,,,,,,
commo/vega,FAKE_REPLACE_ME - Gold Vol,FAKE_REPLACE_ME - 1M,,FAKE_REPLACE_ME - BOOK-0303 · TRADER-152,Precious,804680,415984,42.833,,,,,,,,,,,,
commo/vega,FAKE_REPLACE_ME - Gold Vol,FAKE_REPLACE_ME - 3M,,FAKE_REPLACE_ME - BOOK-0304 · TRADER-152,Precious,1351799,-358548,66.818,,,,,,,,,,,,
commo/vega,FAKE_REPLACE_ME - Gold Vol,FAKE_REPLACE_ME - 6M,,FAKE_REPLACE_ME - BOOK-0305 · TRADER-153,Precious,817520,-288134,61.772,,,,,,,,,,,,
commo/vega,FAKE_REPLACE_ME - TTF Gas Vol,FAKE_REPLACE_ME - 1M,,FAKE_REPLACE_ME - BOOK-0306 · TRADER-153,Gas,1980168,-342065,32.049,,,,,,,,,,,,
commo/vega,FAKE_REPLACE_ME - TTF Gas Vol,FAKE_REPLACE_ME - 3M,,FAKE_REPLACE_ME - BOOK-0307 · TRADER-154,Gas,1182984,270188,95.515,,,,,,,,,,,,
commo/vega,FAKE_REPLACE_ME - TTF Gas Vol,FAKE_REPLACE_ME - 6M,,FAKE_REPLACE_ME - BOOK-0308 · TRADER-154,Gas,4169600,-537491,73.141,,,,,,,,,,,,
fx/delta,FAKE_REPLACE_ME - EUR/USD,,,FAKE_REPLACE_ME - BOOK-0309 · TRADER-155,G10,3612149,320853,18.176,,,,,,,,,,,,
fx/delta,FAKE_REPLACE_ME - USD/JPY,,,FAKE_REPLACE_ME - BOOK-0310 · TRADER-155,G10,-4779990,16560,27.313,,,,,,,,,,,,
fx/delta,FAKE_REPLACE_ME - GBP/USD,,,FAKE_REPLACE_ME - BOOK-0311 · TRADER-156,G10,-1752970,486453,5.364,,,,,,,,,,,,
fx/gamma,FAKE_REPLACE_ME - EUR/USD,,,FAKE_REPLACE_ME - BOOK-0312 · TRADER-156,G10,-1111278,-336366,87.187,,,,,,,,,,,,
fx/gamma,FAKE_REPLACE_ME - USD/JPY,,,FAKE_REPLACE_ME - BOOK-0313 · TRADER-157,G10,3081709,418423,86.867,,,,,,,,,,,,
fx/gamma,FAKE_REPLACE_ME - GBP/USD,,,FAKE_REPLACE_ME - BOOK-0314 · TRADER-157,G10,3844103,-150960,8.911,,,,,,,,,,,,
fx/vega,FAKE_REPLACE_ME - EUR/USD Vol,FAKE_REPLACE_ME - 1M,,FAKE_REPLACE_ME - BOOK-0315 · TRADER-158,G10,1407603,-226145,72.71,,,,,,,,,,,,
fx/vega,FAKE_REPLACE_ME - EUR/USD Vol,FAKE_REPLACE_ME - 3M,,FAKE_REPLACE_ME - BOOK-0316 · TRADER-158,G10,3664040,-387169,87.504,,,,,,,,,,,,
fx/vega,FAKE_REPLACE_ME - EUR/USD Vol,FAKE_REPLACE_ME - 6M,,FAKE_REPLACE_ME - BOOK-0317 · TRADER-159,G10,4734740,-105933,94.712,,,,,,,,,,,,
fx/vega,FAKE_REPLACE_ME - USD/JPY Vol,FAKE_REPLACE_ME - 1M,,FAKE_REPLACE_ME - BOOK-0318 · TRADER-159,G10,1721145,453413,80.46,,,,,,,,,,,,
fx/vega,FAKE_REPLACE_ME - USD/JPY Vol,FAKE_REPLACE_ME - 3M,,FAKE_REPLACE_ME - BOOK-0319 · TRADER-160,G10,2963371,453414,33.333,,,,,,,,,,,,
fx/vega,FAKE_REPLACE_ME - USD/JPY Vol,FAKE_REPLACE_ME - 6M,,FAKE_REPLACE_ME - BOOK-0320 · TRADER-160,G10,-824919,447459,30.206,,,,,,,,,,,,
fx/vega,FAKE_REPLACE_ME - GBP/USD Vol,FAKE_REPLACE_ME - 1M,,FAKE_REPLACE_ME - BOOK-0321 · TRADER-001,G10,1774282,-278392,89.561,,,,,,,,,,,,
fx/vega,FAKE_REPLACE_ME - GBP/USD Vol,FAKE_REPLACE_ME - 3M,,FAKE_REPLACE_ME - BOOK-0322 · TRADER-001,G10,-2286422,-378286,69.821,,,,,,,,,,,,
fx/vega,FAKE_REPLACE_ME - GBP/USD Vol,FAKE_REPLACE_ME - 6M,,FAKE_REPLACE_ME - BOOK-0323 · TRADER-002,G10,263193,-138831,32.576,,,,,,,,,,,,
ir/delta,FAKE_REPLACE_ME - USD SOFR,FAKE_REPLACE_ME - 6M,,FAKE_REPLACE_ME - BOOK-0324 · TRADER-002,G10,1644314,114778,8.998,,,,,,,,,,,,
ir/delta,FAKE_REPLACE_ME - USD SOFR,FAKE_REPLACE_ME - 1Y,,FAKE_REPLACE_ME - BOOK-0325 · TRADER-003,G10,1797717,55082,12.308,,,,,,,,,,,,
ir/delta,FAKE_REPLACE_ME - USD SOFR,FAKE_REPLACE_ME - 2Y,,FAKE_REPLACE_ME - BOOK-0326 · TRADER-003,G10,-2045657,-384390,36.1,,,,,,,,,,,,
ir/delta,FAKE_REPLACE_ME - USD SOFR,FAKE_REPLACE_ME - 5Y,,FAKE_REPLACE_ME - BOOK-0327 · TRADER-004,G10,-2893502,-391201,65.941,,,,,,,,,,,,
ir/delta,FAKE_REPLACE_ME - USD SOFR,FAKE_REPLACE_ME - 10Y,,FAKE_REPLACE_ME - BOOK-0328 · TRADER-004,G10,3211874,470552,70.424,,,,,,,,,,,,
ir/delta,FAKE_REPLACE_ME - EUR ESTR,FAKE_REPLACE_ME - 6M,,FAKE_REPLACE_ME - BOOK-0329 · TRADER-005,G10,-3319546,247648,89.659,,,,,,,,,,,,
ir/delta,FAKE_REPLACE_ME - EUR ESTR,FAKE_REPLACE_ME - 1Y,,FAKE_REPLACE_ME - BOOK-0330 · TRADER-005,G10,-3605098,-38294,26.948,,,,,,,,,,,,
ir/delta,FAKE_REPLACE_ME - EUR ESTR,FAKE_REPLACE_ME - 2Y,,FAKE_REPLACE_ME - BOOK-0331 · TRADER-006,G10,405485,549212,45.648,,,,,,,,,,,,
ir/delta,FAKE_REPLACE_ME - EUR ESTR,FAKE_REPLACE_ME - 5Y,,FAKE_REPLACE_ME - BOOK-0332 · TRADER-006,G10,3239862,367591,49.913,,,,,,,,,,,,
ir/delta,FAKE_REPLACE_ME - EUR ESTR,FAKE_REPLACE_ME - 10Y,,FAKE_REPLACE_ME - BOOK-0333 · TRADER-007,G10,-4826919,-132594,5.918,,,,,,,,,,,,
ir/delta,FAKE_REPLACE_ME - GBP SONIA,FAKE_REPLACE_ME - 6M,,FAKE_REPLACE_ME - BOOK-0334 · TRADER-007,G10,4772595,-530804,64.258,,,,,,,,,,,,
ir/delta,FAKE_REPLACE_ME - GBP SONIA,FAKE_REPLACE_ME - 1Y,,FAKE_REPLACE_ME - BOOK-0335 · TRADER-008,G10,2470805,297640,55.966,,,,,,,,,,,,
ir/delta,FAKE_REPLACE_ME - GBP SONIA,FAKE_REPLACE_ME - 2Y,,FAKE_REPLACE_ME - BOOK-0336 · TRADER-008,G10,-1905390,272430,84.979,,,,,,,,,,,,
ir/delta,FAKE_REPLACE_ME - GBP SONIA,FAKE_REPLACE_ME - 5Y,,FAKE_REPLACE_ME - BOOK-0337 · TRADER-009,G10,4020752,-450943,62.552,,,,,,,,,,,,
ir/delta,FAKE_REPLACE_ME - GBP SONIA,FAKE_REPLACE_ME - 10Y,,FAKE_REPLACE_ME - BOOK-0338 · TRADER-009,G10,-2473669,-317613,93.858,,,,,,,,,,,,
ir/gamma,FAKE_REPLACE_ME - USD SOFR,FAKE_REPLACE_ME - 1Y,,FAKE_REPLACE_ME - BOOK-0339 · TRADER-010,G10,555439,-179860,19.176,,,,,,,,,,,,
ir/gamma,FAKE_REPLACE_ME - USD SOFR,FAKE_REPLACE_ME - 2Y,,FAKE_REPLACE_ME - BOOK-0340 · TRADER-010,G10,3383116,-200017,86.561,,,,,,,,,,,,
ir/gamma,FAKE_REPLACE_ME - USD SOFR,FAKE_REPLACE_ME - 5Y,,FAKE_REPLACE_ME - BOOK-0341 · TRADER-011,G10,3515869,200413,12.132,,,,,,,,,,,,
ir/gamma,FAKE_REPLACE_ME - EUR ESTR,FAKE_REPLACE_ME - 1Y,,FAKE_REPLACE_ME - BOOK-0342 · TRADER-011,G10,2593411,-427174,57.129,,,,,,,,,,,,
ir/gamma,FAKE_REPLACE_ME - EUR ESTR,FAKE_REPLACE_ME - 2Y,,FAKE_REPLACE_ME - BOOK-0343 · TRADER-012,G10,2975715,35358,67.654,,,,,,,,,,,,
ir/gamma,FAKE_REPLACE_ME - EUR ESTR,FAKE_REPLACE_ME - 5Y,,FAKE_REPLACE_ME - BOOK-0344 · TRADER-012,G10,-4817701,155322,92.319,,,,,,,,,,,,
ir/gamma,FAKE_REPLACE_ME - GBP SONIA,FAKE_REPLACE_ME - 1Y,,FAKE_REPLACE_ME - BOOK-0345 · TRADER-013,G10,732244,354576,95.701,,,,,,,,,,,,
ir/gamma,FAKE_REPLACE_ME - GBP SONIA,FAKE_REPLACE_ME - 2Y,,FAKE_REPLACE_ME - BOOK-0346 · TRADER-013,G10,3156267,220554,25.607,,,,,,,,,,,,
ir/gamma,FAKE_REPLACE_ME - GBP SONIA,FAKE_REPLACE_ME - 5Y,,FAKE_REPLACE_ME - BOOK-0347 · TRADER-014,G10,-2744624,-182482,97.88,,,,,,,,,,,,
ir/deltavega,FAKE_REPLACE_ME - USD SOFR Vol,FAKE_REPLACE_ME - 6M,FAKE_REPLACE_ME - 1M,FAKE_REPLACE_ME - BOOK-0348 · TRADER-014,G10,-1992628,-446999,72.239,,,,,,,,,,,,
ir/deltavega,FAKE_REPLACE_ME - USD SOFR Vol,FAKE_REPLACE_ME - 6M,FAKE_REPLACE_ME - 3M,FAKE_REPLACE_ME - BOOK-0349 · TRADER-015,G10,4130621,-438615,79.598,,,,,,,,,,,,
ir/deltavega,FAKE_REPLACE_ME - USD SOFR Vol,FAKE_REPLACE_ME - 6M,FAKE_REPLACE_ME - 6M,FAKE_REPLACE_ME - BOOK-0350 · TRADER-015,G10,2117747,312197,96.796,,,,,,,,,,,,
ir/deltavega,FAKE_REPLACE_ME - USD SOFR Vol,FAKE_REPLACE_ME - 1Y,FAKE_REPLACE_ME - 1M,FAKE_REPLACE_ME - BOOK-0351 · TRADER-016,G10,2145769,-355854,28.623,,,,,,,,,,,,
ir/deltavega,FAKE_REPLACE_ME - USD SOFR Vol,FAKE_REPLACE_ME - 1Y,FAKE_REPLACE_ME - 3M,FAKE_REPLACE_ME - BOOK-0352 · TRADER-016,G10,-3218691,-191233,95.506,,,,,,,,,,,,
ir/deltavega,FAKE_REPLACE_ME - USD SOFR Vol,FAKE_REPLACE_ME - 1Y,FAKE_REPLACE_ME - 6M,FAKE_REPLACE_ME - BOOK-0353 · TRADER-017,G10,3105238,-137906,85.524,,,,,,,,,,,,
ir/deltavega,FAKE_REPLACE_ME - USD SOFR Vol,FAKE_REPLACE_ME - 2Y,FAKE_REPLACE_ME - 1M,FAKE_REPLACE_ME - BOOK-0354 · TRADER-017,G10,-1635027,-401870,10.768,,,,,,,,,,,,
ir/deltavega,FAKE_REPLACE_ME - USD SOFR Vol,FAKE_REPLACE_ME - 2Y,FAKE_REPLACE_ME - 3M,FAKE_REPLACE_ME - BOOK-0355 · TRADER-018,G10,-1685623,-382358,14.13,,,,,,,,,,,,
ir/deltavega,FAKE_REPLACE_ME - USD SOFR Vol,FAKE_REPLACE_ME - 2Y,FAKE_REPLACE_ME - 6M,FAKE_REPLACE_ME - BOOK-0356 · TRADER-018,G10,3764721,-340408,12.959,,,,,,,,,,,,
ir/deltavega,FAKE_REPLACE_ME - USD SOFR Vol,FAKE_REPLACE_ME - 5Y,FAKE_REPLACE_ME - 1M,FAKE_REPLACE_ME - BOOK-0357 · TRADER-019,G10,2124933,-516253,50.772,,,,,,,,,,,,
ir/deltavega,FAKE_REPLACE_ME - USD SOFR Vol,FAKE_REPLACE_ME - 5Y,FAKE_REPLACE_ME - 3M,FAKE_REPLACE_ME - BOOK-0358 · TRADER-019,G10,1583013,81101,9.103,,,,,,,,,,,,
ir/deltavega,FAKE_REPLACE_ME - USD SOFR Vol,FAKE_REPLACE_ME - 5Y,FAKE_REPLACE_ME - 6M,FAKE_REPLACE_ME - BOOK-0359 · TRADER-020,G10,3883939,507254,86.903,,,,,,,,,,,,
ir/deltavega,FAKE_REPLACE_ME - EUR ESTR Vol,FAKE_REPLACE_ME - 6M,FAKE_REPLACE_ME - 1M,FAKE_REPLACE_ME - BOOK-0360 · TRADER-020,G10,1151174,-213570,31.163,,,,,,,,,,,,
ir/deltavega,FAKE_REPLACE_ME - EUR ESTR Vol,FAKE_REPLACE_ME - 6M,FAKE_REPLACE_ME - 3M,FAKE_REPLACE_ME - BOOK-0361 · TRADER-021,G10,2602560,282628,69.51,,,,,,,,,,,,
ir/deltavega,FAKE_REPLACE_ME - EUR ESTR Vol,FAKE_REPLACE_ME - 6M,FAKE_REPLACE_ME - 6M,FAKE_REPLACE_ME - BOOK-0362 · TRADER-021,G10,4155639,-471764,85.928,,,,,,,,,,,,
ir/deltavega,FAKE_REPLACE_ME - EUR ESTR Vol,FAKE_REPLACE_ME - 1Y,FAKE_REPLACE_ME - 1M,FAKE_REPLACE_ME - BOOK-0363 · TRADER-022,G10,2877020,-158063,72.387,,,,,,,,,,,,
ir/deltavega,FAKE_REPLACE_ME - EUR ESTR Vol,FAKE_REPLACE_ME - 1Y,FAKE_REPLACE_ME - 3M,FAKE_REPLACE_ME - BOOK-0364 · TRADER-022,G10,2567851,-180170,49.646,,,,,,,,,,,,
ir/deltavega,FAKE_REPLACE_ME - EUR ESTR Vol,FAKE_REPLACE_ME - 1Y,FAKE_REPLACE_ME - 6M,FAKE_REPLACE_ME - BOOK-0365 · TRADER-023,G10,4620477,-404963,26.831,,,,,,,,,,,,
ir/deltavega,FAKE_REPLACE_ME - EUR ESTR Vol,FAKE_REPLACE_ME - 2Y,FAKE_REPLACE_ME - 1M,FAKE_REPLACE_ME - BOOK-0366 · TRADER-023,G10,4013289,401921,19.605,,,,,,,,,,,,
ir/deltavega,FAKE_REPLACE_ME - EUR ESTR Vol,FAKE_REPLACE_ME - 2Y,FAKE_REPLACE_ME - 3M,FAKE_REPLACE_ME - BOOK-0367 · TRADER-024,G10,4738605,-107575,45.821,,,,,,,,,,,,
ir/deltavega,FAKE_REPLACE_ME - EUR ESTR Vol,FAKE_REPLACE_ME - 2Y,FAKE_REPLACE_ME - 6M,FAKE_REPLACE_ME - BOOK-0368 · TRADER-024,G10,860037,-461736,77.275,,,,,,,,,,,,
ir/deltavega,FAKE_REPLACE_ME - EUR ESTR Vol,FAKE_REPLACE_ME - 5Y,FAKE_REPLACE_ME - 1M,FAKE_REPLACE_ME - BOOK-0369 · TRADER-025,G10,3595503,-22155,80.792,,,,,,,,,,,,
ir/deltavega,FAKE_REPLACE_ME - EUR ESTR Vol,FAKE_REPLACE_ME - 5Y,FAKE_REPLACE_ME - 3M,FAKE_REPLACE_ME - BOOK-0370 · TRADER-025,G10,3698459,-120273,32.1,,,,,,,,,,,,
ir/deltavega,FAKE_REPLACE_ME - EUR ESTR Vol,FAKE_REPLACE_ME - 5Y,FAKE_REPLACE_ME - 6M,FAKE_REPLACE_ME - BOOK-0371 · TRADER-026,G10,-808727,-533414,50.264,,,,,,,,,,,,
ir/deltavega,FAKE_REPLACE_ME - GBP SONIA Vol,FAKE_REPLACE_ME - 6M,FAKE_REPLACE_ME - 1M,FAKE_REPLACE_ME - BOOK-0372 · TRADER-026,G10,-1209718,294048,81.232,,,,,,,,,,,,
ir/deltavega,FAKE_REPLACE_ME - GBP SONIA Vol,FAKE_REPLACE_ME - 6M,FAKE_REPLACE_ME - 3M,FAKE_REPLACE_ME - BOOK-0373 · TRADER-027,G10,4381362,179237,83.594,,,,,,,,,,,,
ir/deltavega,FAKE_REPLACE_ME - GBP SONIA Vol,FAKE_REPLACE_ME - 6M,FAKE_REPLACE_ME - 6M,FAKE_REPLACE_ME - BOOK-0374 · TRADER-027,G10,3924338,-72902,86.061,,,,,,,,,,,,
ir/deltavega,FAKE_REPLACE_ME - GBP SONIA Vol,FAKE_REPLACE_ME - 1Y,FAKE_REPLACE_ME - 1M,FAKE_REPLACE_ME - BOOK-0375 · TRADER-028,G10,2859355,446791,67.443,,,,,,,,,,,,
ir/deltavega,FAKE_REPLACE_ME - GBP SONIA Vol,FAKE_REPLACE_ME - 1Y,FAKE_REPLACE_ME - 3M,FAKE_REPLACE_ME - BOOK-0376 · TRADER-028,G10,678808,432298,71.785,,,,,,,,,,,,
ir/deltavega,FAKE_REPLACE_ME - GBP SONIA Vol,FAKE_REPLACE_ME - 1Y,FAKE_REPLACE_ME - 6M,FAKE_REPLACE_ME - BOOK-0377 · TRADER-029,G10,4165279,471203,95.575,,,,,,,,,,,,
ir/deltavega,FAKE_REPLACE_ME - GBP SONIA Vol,FAKE_REPLACE_ME - 2Y,FAKE_REPLACE_ME - 1M,FAKE_REPLACE_ME - BOOK-0378 · TRADER-029,G10,4051322,-280885,70.083,,,,,,,,,,,,
ir/deltavega,FAKE_REPLACE_ME - GBP SONIA Vol,FAKE_REPLACE_ME - 2Y,FAKE_REPLACE_ME - 3M,FAKE_REPLACE_ME - BOOK-0379 · TRADER-030,G10,3463840,-249039,10.851,,,,,,,,,,,,
ir/deltavega,FAKE_REPLACE_ME - GBP SONIA Vol,FAKE_REPLACE_ME - 2Y,FAKE_REPLACE_ME - 6M,FAKE_REPLACE_ME - BOOK-0380 · TRADER-030,G10,4118457,-126571,54.402,,,,,,,,,,,,
ir/deltavega,FAKE_REPLACE_ME - GBP SONIA Vol,FAKE_REPLACE_ME - 5Y,FAKE_REPLACE_ME - 1M,FAKE_REPLACE_ME - BOOK-0381 · TRADER-031,G10,-3043866,392658,37.981,,,,,,,,,,,,
ir/deltavega,FAKE_REPLACE_ME - GBP SONIA Vol,FAKE_REPLACE_ME - 5Y,FAKE_REPLACE_ME - 3M,FAKE_REPLACE_ME - BOOK-0382 · TRADER-031,G10,928053,525458,11.475,,,,,,,,,,,,
ir/deltavega,FAKE_REPLACE_ME - GBP SONIA Vol,FAKE_REPLACE_ME - 5Y,FAKE_REPLACE_ME - 6M,FAKE_REPLACE_ME - BOOK-0383 · TRADER-032,G10,2815183,107564,92.348,,,,,,,,,,,,
ir/xccy,FAKE_REPLACE_ME - EUR/USD XCCY,FAKE_REPLACE_ME - 1Y,,FAKE_REPLACE_ME - BOOK-0384 · TRADER-032,G10,-1975149,-289681,46.212,,,,,,,,,,,,
ir/xccy,FAKE_REPLACE_ME - EUR/USD XCCY,FAKE_REPLACE_ME - 2Y,,FAKE_REPLACE_ME - BOOK-0385 · TRADER-033,G10,2533144,-171943,40.284,,,,,,,,,,,,
ir/xccy,FAKE_REPLACE_ME - EUR/USD XCCY,FAKE_REPLACE_ME - 5Y,,FAKE_REPLACE_ME - BOOK-0386 · TRADER-033,G10,-669511,139274,57.894,,,,,,,,,,,,
ir/xccy,FAKE_REPLACE_ME - GBP/USD XCCY,FAKE_REPLACE_ME - 1Y,,FAKE_REPLACE_ME - BOOK-0387 · TRADER-034,G10,420623,-129172,87.548,,,,,,,,,,,,
ir/xccy,FAKE_REPLACE_ME - GBP/USD XCCY,FAKE_REPLACE_ME - 2Y,,FAKE_REPLACE_ME - BOOK-0388 · TRADER-034,G10,267882,-488864,55.78,,,,,,,,,,,,
ir/xccy,FAKE_REPLACE_ME - GBP/USD XCCY,FAKE_REPLACE_ME - 5Y,,FAKE_REPLACE_ME - BOOK-0389 · TRADER-035,G10,4603971,66291,52.661,,,,,,,,,,,,
ir/xccy,FAKE_REPLACE_ME - USD/JPY XCCY,FAKE_REPLACE_ME - 1Y,,FAKE_REPLACE_ME - BOOK-0390 · TRADER-035,G10,-2838376,27358,34.197,,,,,,,,,,,,
ir/xccy,FAKE_REPLACE_ME - USD/JPY XCCY,FAKE_REPLACE_ME - 2Y,,FAKE_REPLACE_ME - BOOK-0391 · TRADER-036,G10,4949967,-317931,71.864,,,,,,,,,,,,
ir/xccy,FAKE_REPLACE_ME - USD/JPY XCCY,FAKE_REPLACE_ME - 5Y,,FAKE_REPLACE_ME - BOOK-0392 · TRADER-036,G10,4026473,-251394,62.705,,,,,,,,,,,,
ir/xccyvega,FAKE_REPLACE_ME - EUR/USD XCCY Vol,FAKE_REPLACE_ME - 1Y,FAKE_REPLACE_ME - 3M,FAKE_REPLACE_ME - BOOK-0393 · TRADER-037,G10,4747649,252140,50.562,,,,,,,,,,,,
ir/xccyvega,FAKE_REPLACE_ME - EUR/USD XCCY Vol,FAKE_REPLACE_ME - 1Y,FAKE_REPLACE_ME - 6M,FAKE_REPLACE_ME - BOOK-0394 · TRADER-037,G10,3866324,-464613,69.417,,,,,,,,,,,,
ir/xccyvega,FAKE_REPLACE_ME - EUR/USD XCCY Vol,FAKE_REPLACE_ME - 1Y,FAKE_REPLACE_ME - 1Y,FAKE_REPLACE_ME - BOOK-0395 · TRADER-038,G10,-2287120,-341014,20.661,,,,,,,,,,,,
ir/xccyvega,FAKE_REPLACE_ME - EUR/USD XCCY Vol,FAKE_REPLACE_ME - 3Y,FAKE_REPLACE_ME - 3M,FAKE_REPLACE_ME - BOOK-0396 · TRADER-038,G10,1510598,152038,41.73,,,,,,,,,,,,
ir/xccyvega,FAKE_REPLACE_ME - EUR/USD XCCY Vol,FAKE_REPLACE_ME - 3Y,FAKE_REPLACE_ME - 6M,FAKE_REPLACE_ME - BOOK-0397 · TRADER-039,G10,3896814,-527014,44.894,,,,,,,,,,,,
ir/xccyvega,FAKE_REPLACE_ME - EUR/USD XCCY Vol,FAKE_REPLACE_ME - 3Y,FAKE_REPLACE_ME - 1Y,FAKE_REPLACE_ME - BOOK-0398 · TRADER-039,G10,-312538,163905,34.522,,,,,,,,,,,,
ir/xccyvega,FAKE_REPLACE_ME - EUR/USD XCCY Vol,FAKE_REPLACE_ME - 5Y,FAKE_REPLACE_ME - 3M,FAKE_REPLACE_ME - BOOK-0399 · TRADER-040,G10,1288861,-369757,95.028,,,,,,,,,,,,
ir/xccyvega,FAKE_REPLACE_ME - EUR/USD XCCY Vol,FAKE_REPLACE_ME - 5Y,FAKE_REPLACE_ME - 6M,FAKE_REPLACE_ME - BOOK-0400 · TRADER-040,G10,-2433021,-125395,91.884,,,,,,,,,,,,
ir/xccyvega,FAKE_REPLACE_ME - EUR/USD XCCY Vol,FAKE_REPLACE_ME - 5Y,FAKE_REPLACE_ME - 1Y,FAKE_REPLACE_ME - BOOK-0401 · TRADER-041,G10,1815807,145623,85.388,,,,,,,,,,,,
ir/xccyvega,FAKE_REPLACE_ME - EUR/USD XCCY Vol,FAKE_REPLACE_ME - 10Y,FAKE_REPLACE_ME - 3M,FAKE_REPLACE_ME - BOOK-0402 · TRADER-041,G10,1798984,375602,42.348,,,,,,,,,,,,
ir/xccyvega,FAKE_REPLACE_ME - EUR/USD XCCY Vol,FAKE_REPLACE_ME - 10Y,FAKE_REPLACE_ME - 6M,FAKE_REPLACE_ME - BOOK-0403 · TRADER-042,G10,4446968,-422514,40.033,,,,,,,,,,,,
ir/xccyvega,FAKE_REPLACE_ME - EUR/USD XCCY Vol,FAKE_REPLACE_ME - 10Y,FAKE_REPLACE_ME - 1Y,FAKE_REPLACE_ME - BOOK-0404 · TRADER-042,G10,3889996,460054,24.62,,,,,,,,,,,,
ir/xccyvega,FAKE_REPLACE_ME - GBP/USD XCCY Vol,FAKE_REPLACE_ME - 1Y,FAKE_REPLACE_ME - 3M,FAKE_REPLACE_ME - BOOK-0405 · TRADER-043,G10,4734383,-196631,51.758,,,,,,,,,,,,
ir/xccyvega,FAKE_REPLACE_ME - GBP/USD XCCY Vol,FAKE_REPLACE_ME - 1Y,FAKE_REPLACE_ME - 6M,FAKE_REPLACE_ME - BOOK-0406 · TRADER-043,G10,2530575,14051,12.508,,,,,,,,,,,,
